2026-04-03T05:21:03.8731959Z | PROJECT=PRJ_EVID_FRESH_OK | EXECUTOR=exec.analyze | MODE=read-only | REQUEST=summarize the current project readiness | RESULT=ANALYZE_ONLY: request='summarize the current project readiness' | guidance=Conservative review and session check before actions.
2026-04-03T05:21:10.9421011Z | PROJECT=PRJ_EVID_FRESH_OK | EXECUTOR=exec.analyze | MODE=read-only | REQUEST=identify the most conservative next step | RESULT=ANALYZE_ONLY: request='identify the most conservative next step' | guidance=Conservative review and session check before actions.
2026-04-03T05:31:00.4094129Z | PROJECT=PRJ_EVID_FRESH_OK | EXECUTOR=exec.analyze | MODE=read-only | REQUEST=summarize the current project readiness | RESULT=ANALYZE_ONLY: request='summarize the current project readiness' | guidance=Conservative review and session check before actions.
2026-04-03T17:35:28.4658645Z | PROJECT=PRJ_EVID_FRESH_OK | EXECUTOR=exec.analyze | MODE=read-only | REQUEST=summarize the current project readiness | RESULT=ANALYZE_ONLY: request='summarize the current project readiness' | guidance=Conservative review and session check before actions.
2026-04-03T17:36:00.4699961Z | PROJECT=PRJ_EVID_FRESH_OK | EXECUTOR=exec.analyze | MODE=read-only | REQUEST=summarize the current project readiness | RESULT=ANALYZE_ONLY: request='summarize the current project readiness' | guidance=Conservative review and session check before actions.
2026-04-03T17:36:08.4843126Z | PROJECT=PRJ_EVID_FRESH_OK | EXECUTOR=exec.analyze | MODE=read-only | REQUEST=identify the most conservative next step | RESULT=ANALYZE_ONLY: request='identify the most conservative next step' | guidance=Conservative review and session check before actions.
2026-04-03T17:48:38.1562361Z | PROJECT=PRJ_EVID_FRESH_OK | MODE=read-only | EXECUTOR=exec.analyze | REQUEST=summarize the current project readiness | RESULT=ANALYZE_ONLY: request='summarize the current project readiness' | guidance=Conservative review and session check before actions. | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-03T23:21:46.3790814Z | PROJECT=PRJ_EVID_FRESH_OK | EXEC=exec.analyze | MODE=read-only | PRESET=free-text | REQUEST=summarize the current project readiness | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-03T23:21:54.1848738Z | PROJECT=PRJ_EVID_FRESH_OK | EXEC=exec.analyze | MODE=read-only | PRESET=readiness | REQUEST=readiness | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-03T23:22:00.5008180Z | PROJECT=PRJ_EVID_FRESH_OK | EXEC=exec.analyze | MODE=read-only | PRESET=next-step | REQUEST=next-step | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-03T23:22:05.8647946Z | PROJECT=PRJ_EVID_FRESH_OK | EXEC=exec.analyze | MODE=read-only | PRESET=next-step | REQUEST=next-step | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-03T23:22:49.4910267Z | PROJECT=PRJ_EVID_FRESH_OK | EXEC=exec.analyze | MODE=read-only | PRESET=free-text | REQUEST=summarize the current project readiness | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-03T23:22:57.2736176Z | PROJECT=PRJ_EVID_FRESH_OK | EXEC=exec.analyze | MODE=read-only | PRESET=readiness | REQUEST=readiness | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-03T23:23:18.5511977Z | PROJECT=PRJ_EVID_FRESH_OK | EXEC=exec.analyze | MODE=read-only | PRESET=next-step | REQUEST=next-step | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-03T23:23:28.2480901Z | PROJECT=PRJ_EVID_FRESH_OK | EXEC=exec.analyze | MODE=read-only | PRESET=risk-scan | REQUEST=risk-scan | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-03T23:23:34.1847771Z | PROJECT=PRJ_EVID_FRESH_OK | EXEC=exec.analyze | MODE=read-only | PRESET=next-step | REQUEST=next-step | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-03T23:43:19.1124464Z | PROJECT=PRJ_EVID_FRESH_OK | EXEC=exec.analyze | MODE=read-only | PRESET=readiness | REQUEST=readiness | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-03T23:43:27.4965617Z | PROJECT=PRJ_EVID_FRESH_OK | EXEC=exec.analyze | MODE=read-only | PRESET=next-step | REQUEST=next-step | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-03T23:51:02.2621166Z | PROJECT=PRJ_EVID_FRESH_OK | EXEC=exec.analyze | MODE=read-only | PRESET=readiness | REQUEST=readiness | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-03T23:51:16.3505808Z | PROJECT=PRJ_EVID_FRESH_OK | EXEC=exec.analyze | MODE=read-only | PRESET=next-step | REQUEST=next-step | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-03T23:51:52.3781085Z | PROJECT=PRJ_EVID_FRESH_OK | EXEC=exec.analyze | MODE=read-only | PRESET=free-text | REQUEST=conservative milestone check | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-04T01:19:54.5703730Z | PROJECT=PRJ_EVID_FRESH_OK | EXEC=exec.analyze | MODE=read-only | PRESET=readiness | REQUEST=readiness | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively. | DECISION_REF=D4a86a6fd
2026-04-04T01:20:01.0947796Z | PROJECT=PRJ_EVID_FRESH_OK | EXEC=exec.analyze | MODE=read-only | PRESET=next-step | REQUEST=next-step | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively. | DECISION_REF=D803d0f92
2026-04-04T01:33:28.3563912Z | PROJECT=PRJ_EVID_FRESH_OK | EXEC=exec.analyze | MODE=read-only | PRESET=readiness | REQUEST=readiness | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively. | DECISION_REF=DEC-54abd665
2026-04-04T01:33:35.3060761Z | PROJECT=PRJ_EVID_FRESH_OK | EXEC=exec.analyze | MODE=read-only | PRESET=next-step | REQUEST=next-step | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively. | DECISION_REF=DEC-1e9bd9ff
2026-04-04T01:33:41.4855139Z | PROJECT=PRJ_EVID_FRESH_OK | EXEC=exec.analyze | MODE=read-only | PRESET=free-text | REQUEST=conservative milestone check | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively. | DECISION_REF=DEC-eb847661
2026-04-04T01:33:47.6017794Z | PROJECT=PRJ_EVID_FRESH_OK | EXEC=exec.analyze | MODE=read-only | PRESET=next-step | REQUEST=next-step | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively. | DECISION_REF=DEC-04d401d9
2026-04-04T13:23:58.3461691Z | PROJECT=PRJ_EVID_FRESH_OK | EXEC=exec.analyze | MODE=read-only | PRESET=readiness | REQUEST=readiness | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively. | DECISION_REF=DEC-d68aabc9
2026-04-04T13:26:56.0522807Z | PROJECT=PRJ_EVID_FRESH_OK | EXEC=exec.analyze | MODE=read-only | PRESET=readiness | REQUEST=readiness | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively. | DECISION_REF=DEC-77956662
2026-04-04T13:27:04.0141557Z | PROJECT=PRJ_EVID_FRESH_OK | EXEC=exec.analyze | MODE=read-only | PRESET=next-step | REQUEST=next-step | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively. | DECISION_REF=DEC-c71c67de
2026-04-04T13:27:32.8332962Z | PROJECT=PRJ_EVID_FRESH_OK | EXEC=exec.analyze | MODE=read-only | PRESET=free-text | REQUEST=menu free text check | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively. | DECISION_REF=DEC-8ec7aa67
2026-04-04T13:27:51.9031631Z | PROJECT=PRJ_EVID_FRESH_OK | EXEC=exec.analyze | MODE=read-only | PRESET=readiness | REQUEST=readiness | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively. | DECISION_REF=DEC-d5df5158
2026-04-05T16:12:56.8578232Z | PROJECT=PRJ_EVID_FRESH_OK | EXEC=exec.analyze | MODE=read-only | PRESET=next-step | REQUEST=next-step | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively. | DECISION_REF=DEC-11b917ef
2026-04-05T16:14:06.0151438Z | PROJECT=PRJ_EVID_FRESH_OK | DECISION_REF=DEC-e680bbc6 | MODE=read-only | EXEC=exec.analyze | PRESET=free-text | REQUEST=conservative milestone check | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-05T16:14:14.7741007Z | PROJECT=PRJ_EVID_FRESH_OK | DECISION_REF=DEC-59d6b25f | MODE=read-only | EXEC=exec.analyze | PRESET=next-step | REQUEST=next-step | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-05T16:14:22.4690469Z | PROJECT=PRJ_EVID_FRESH_OK | DECISION_REF=DEC-0f2cf35f | MODE=read-only | EXEC=exec.analyze | PRESET=next-step | REQUEST=next-step | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-05T16:14:54.5060969Z | PROJECT=PRJ_EVID_FRESH_OK | DECISION_REF=DEC-5b1bc6ed | MODE=read-only | EXEC=exec.analyze | PRESET=next-step | REQUEST=next-step | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-05T16:15:02.8520130Z | PROJECT=PRJ_EVID_FRESH_OK | DECISION_REF=DEC-cd01380a | MODE=read-only | EXEC=exec.analyze | PRESET=next-step | REQUEST=next-step | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-05T16:31:43.8038895Z | PROJECT=PRJ_EVID_FRESH_OK | DECISION_REF=DEC-87e380ab | MODE=read-only | EXEC=exec.analyze | PRESET=free-text | REQUEST=conservative milestone check | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-05T16:31:50.0858304Z | PROJECT=PRJ_EVID_FRESH_OK | DECISION_REF=DEC-d7ced817 | MODE=read-only | EXEC=exec.analyze | PRESET=next-step | REQUEST=next-step | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-05T16:31:56.6673130Z | PROJECT=PRJ_EVID_FRESH_OK | DECISION_REF=DEC-a06012a5 | MODE=read-only | EXEC=exec.analyze | PRESET=next-step | REQUEST=next-step | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-05T16:32:04.2068957Z | PROJECT=PRJ_EVID_FRESH_OK | DECISION_REF=DEC-c3a9a190 | MODE=read-only | EXEC=exec.analyze | PRESET=next-step | REQUEST=next-step | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-05T16:32:12.4950646Z | PROJECT=PRJ_EVID_FRESH_OK | DECISION_REF=DEC-a0b56a3d | MODE=read-only | EXEC=exec.analyze | PRESET=free-text | REQUEST=menu free text check | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-05T16:32:20.1430246Z | PROJECT=PRJ_EVID_FRESH_OK | DECISION_REF=DEC-b7be7961 | MODE=read-only | EXEC=exec.analyze | PRESET=next-step | REQUEST=next-step | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-05T16:32:35.5091963Z | PROJECT=PRJ_EVID_FRESH_OK | DECISION_REF=DEC-1f8f3ea5 | MODE=read-only | EXEC=exec.analyze | PRESET=readiness | REQUEST=readiness | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-05T16:40:45.0083931Z | PROJECT=PRJ_EVID_FRESH_OK | DECISION_REF=DEC-2bcd82f2 | MODE=read-only | EXEC=exec.analyze | PRESET=readiness | REQUEST=readiness | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-05T16:40:52.2994390Z | PROJECT=PRJ_EVID_FRESH_OK | DECISION_REF=DEC-6ec7e810 | MODE=read-only | EXEC=exec.analyze | PRESET=next-step | REQUEST=next-step | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-05T16:40:59.6255352Z | PROJECT=PRJ_EVID_FRESH_OK | DECISION_REF=DEC-7291838c | MODE=read-only | EXEC=exec.analyze | PRESET=free-text | REQUEST=menu free text check | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-05T16:41:08.0298260Z | PROJECT=PRJ_EVID_FRESH_OK | DECISION_REF=DEC-cc176f0e | MODE=read-only | EXEC=exec.analyze | PRESET=next-step | REQUEST=next-step | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-05T16:58:06.5155247Z | PROJECT=PRJ_EVID_FRESH_OK | DECISION_REF=DEC-bc774254 | MODE=read-only | EXEC=exec.analyze | PRESET=free-text | REQUEST=smoke free text | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-05T16:58:13.4466378Z | PROJECT=PRJ_EVID_FRESH_OK | DECISION_REF=DEC-97958b26 | MODE=read-only | EXEC=exec.analyze | PRESET=readiness | REQUEST=readiness | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-05T16:58:20.9658715Z | PROJECT=PRJ_EVID_FRESH_OK | DECISION_REF=DEC-90e02253 | MODE=read-only | EXEC=exec.analyze | PRESET=next-step | REQUEST=next-step | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-05T16:58:35.6959087Z | PROJECT=PRJ_EVID_FRESH_OK | DECISION_REF=DEC-9d15b3bc | MODE=read-only | EXEC=exec.analyze | PRESET=next-step | REQUEST=next-step | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-05T16:58:43.5225768Z | PROJECT=PRJ_EVID_FRESH_OK | DECISION_REF=DEC-3c189ad5 | MODE=read-only | EXEC=exec.analyze | PRESET=next-step | REQUEST=next-step | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-05T17:07:21.3833174Z | PROJECT=PRJ_EVID_FRESH_OK | DECISION_REF=DEC-647c4225 | MODE=read-only | EXEC=exec.analyze | PRESET=readiness | REQUEST=readiness | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-05T17:07:29.9359891Z | PROJECT=PRJ_EVID_FRESH_OK | DECISION_REF=DEC-f36c9884 | MODE=read-only | EXEC=exec.analyze | PRESET=next-step | REQUEST=next-step | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-05T17:07:41.7759020Z | PROJECT=PRJ_EVID_FRESH_OK | DECISION_REF=DEC-231d388f | MODE=read-only | EXEC=exec.analyze | PRESET=next-step | REQUEST=next-step | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
2026-04-05T17:07:48.2515583Z | PROJECT=PRJ_EVID_FRESH_OK | DECISION_REF=DEC-e5aa610d | MODE=read-only | EXEC=exec.analyze | PRESET=next-step | REQUEST=next-step | NEXT_HINT=Review plan, align with BATON/backlog, then proceed conservatively.
